name,location,reviews,facilities,price,size,rules,stars
Red Tower Hotel,"Nikiana, Nikiana, 31100, Greece",8.0Very Good 38 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
£605
</span>",226 feet²,['Pets\n\n\nPets are not allowed.'],4
Pansion Filoxenia Apartments & Studios,"Tsoukalades, Tsoukalades, 31100, Greece",8.6Excellent 369 reviews,"['Free WiFi', 'Free parking', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 600
</span>",17 m²,['Pets\n\n\nPets are not allowed.'],3
Sea view apartments,"Λευκάδα Τσουκαλαδες, Tsoukalades, 31100, Greece",9.5Exceptional 44 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
₹ 132,426
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3
Green Villa,"13ο km. Epar. Odos Lefkas-Εxanthias, Agios Nikitas, 31100, Greece",9.3Wonderful 107 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
£601
</span>",301 feet²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Ionio Sea Poros Studios,"Mikros Yalos Porou Lefkadas, Mikros Gialos, 31100, Greece",9.0Wonderful 51 reviews,"['Free parking', 'Room service', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
₹ 28,692
</span>",15 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Zacharogianni Studios,"Episkopos, Nikiana, 31100, Greece",8.8Excellent 75 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
£365
</span>",269 feet²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Welcome In,"Mikros Gialos Lefkada, Mikros Gialos, 31082, Greece",8.6Excellent 67 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle (free)', 'Non-smoking rooms', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 720
Current price
€ 662
</span>",18 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3
villa on the sea,"γυρα λευκαδα, Ayía Marína, 31100, Greece",9.2Wonderful 108 reviews,"['Free WiFi', 'Free parking', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 1,293
</span>",48 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Nefeli Hotel,"Lefkada, Agios Nikitas, 31080, Greece",8.9Excellent 226 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Room service', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
2,887 zł
Current price
2,657 zł
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],2
PANTHEON RESORT AND VILLAS,"ΑΓΙΟΣ ΝΙΚΗΤΑΣ-ΚΑΛΑΜΙΤΣΙ, Agios Nikitas, 31100, Greece",,"['Swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
CAD 1,009
</span>",50 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3
Filoxenia Kontogiannis,"Lazarata, Lazaráta, 31080, Greece",9.0Wonderful 84 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$349
</span>",248 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Mavra Studios,"Lygia Lefkada, Lygia, 31100, Greece",8.7Excellent 329 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 627
</span>",20 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Captain's Studios,"Βασιλική, Vasiliki, 31082, Greece",9.4Wonderful 171 reviews,"['Free parking', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
¥74,896
Current price
¥71,151
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Anesis Village Studios and Apartments,"Kariotes, Lygia, 31100, Greece",9.1Wonderful 145 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 483
Current price
€ 444
</span>",18 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Villa Vera,"Agios Nikitas Lefkada, Agios Nikitas, 31080, Greece",9.1Wonderful 17 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 1,815
Current price
€ 1,797
</span>",100 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",4
Sundy's Studios,"Perigiálion, Nydri, 31100, Greece",9.3Wonderful 190 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$509
Current price
$476
</span>",269 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
