name,location,reviews,facilities,price,size,rules,stars
Holidays in Paros,"Aliki, Aliki, 84400, Greece",8.7Excellent 116 reviews,"['Free WiFi', 'Non-smoking rooms', 'Room service', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 918
Current price
€ 845
</span>",35 m²,"['Smoking\n\nSmoking is not allowed.', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Doukissa,"Parikia, Parikia, 84400, Greece",9.0Wonderful 203 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,010
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Calme Boutique Hotel - Adults Only,"Drios, Drios, 84400, Greece",9.3Wonderful 57 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Room service', 'Restaurant', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$5,427
</span>",355 feet²,['Pets\n\n\nPets are not allowed.'],
Minois - Small Luxury Hotels of the World,"Parikia, Parasporos, 84400, Greece",8.7Excellent 124 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Room service', 'Free parking', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 5,788
</span>",28 m²,['Pets\n\n\nPets are not allowed.'],5
Acron Villas,"Kolybithres, Kolympithres, 84401, Greece",9.1Wonderful 55 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
€ 6,483
</span>",125 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
"Bohemian Luxury Boutique Hotel, Adults Only","Dimotiki Naoussa Alonia Naoussa, Naousa, 84401, Greece",8.6Excellent 336 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 412,012
Current price
RUB 329,610
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],4
Nissiotiko Hotel,"Drios, Drios, 84400, Greece",9.2Wonderful 163 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$1,255
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],
"Lilly Residence-All Sea View Suites, Adults Only","Aghii Anargyri beach, Naousa, 84401, Greece",9.3Wonderful 84 reviews,"['6 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Beachfront', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$4,505
Current price
$3,604
</span>",226 feet²,['Pets\n\n\nPets are not allowed.'],
Acoya Suites Paros,"Aliki, Aliki, 84400, Greece",8.4Very Good 192 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,520
</span>",215 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Stelia Mare Boutique Hotel,"Agioi Anargyroi, Naousa, 84401, Greece",9.3Wonderful 232 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$5,958
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],
