name,location,reviews,facilities,price,size,rules,stars
Studios Kapsali,"Panagia Galini, Galini, 84300, Greece",9.6Exceptional 33 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 870
Current price
€ 720
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Depis village kastraki naxos,"kastraki naxos 1, Kastraki, 84301, Greece",8.9Excellent 46 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,540
</span>",646 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Dilino Hotel Studios,"Main Street, Agios Prokopios, 84300, Greece",7.9Good 152 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$704
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",9.4Wonderful 243 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
₱ 158,988
</span>",34 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3
Petros Studios & Suites,"Agiou Polukarpou, Naxos Chora, 84300, Greece",9.2Wonderful 109 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
¥146,796
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Sun and Moon Villas,"Pyrgaki, Aliko Beach, 84300, Greece",8.6Excellent 99 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,867
</span>",646 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Aegean Palace,"Plaka Beach, Plaka, 84300, Greece",8.5Very Good 204 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle (free)', 'Room service', 'Restaurant', 'Beachfront', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
¥484,815
</span>",30 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Taki's Guests,"Main Street, Naxos Chora, 84300, Greece",9.4Wonderful 100 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Room service', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,173
</span>",22 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
George Studios,"Saint George Beach, Naxos Chora, 84300, Greece",8.7Excellent 171 reviews,"['Non-smoking rooms', 'Parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,030
</span>",205 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",
Marine Dream,"Plaka Beach, Plaka, 84300, Greece",8.7Excellent 89 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle (free)', 'Beachfront', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,630
</span>",269 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
